the_geom,address,allzoning1,allzoning2,appbbl,appdate,areasource,assessland,assesstot,bbl,bldgarea,bldgclass,bldgdepth,bldgfront,block,borocode,bsmtcode,builtcode,builtfar,cb2010,cd,comarea,commfar,condono,council,ct2010,easements,edesignum,exemptland,exempttot,ext,facilfar,factryarea,firecomp,garagearea,healtharea,histdist,irrlotcode,landmark,landuse,lot,lotarea,lotdepth,lotfront,lottype,ltdheight,numbldgs,numfloors,officearea,otherarea,overlay1,overlay2,ownername,ownertype,plutomapid,policeprct,proxcode,resarea,residfar,retailarea,sanborn,schooldist,spdist1,spdist2,splitzone,strgearea,taxmap,tract2010,unitsres,unitstotal,version,xcoord,ycoord,yearalter1,yearalter2,yearbuilt,zipcode,zmcode,zonedist1,zonedist2,zonedist3,zonedist4,zonemap
0106000020E610000001000000010300000001000000050000007491F0C21E7C52C0DA95DCEC165C444041B03469247C52C02167DC07145C4440C0CD32E6257C52C0A7F0797C1A5C4440FFB7ED3F207C52C0D38579611D5C44407491F0C21E7C52C0DA95DCEC165C4440,300 RICHARDSON STREET,M1-1,,0,,7,128250,527400,3028580017,15000,F9,75,50,2858,3,0,,2,3014,301,15000,1,0,34,449,0,,0,0,,2.4,15000,L146,0,900,,N,,06,17,7500,75,100,3,,2,3,0,0,,,300 RICHARDSON REALT,P,1,94,0,0,0,0,309 064,14,,,N,0,31001,0449,0,2,15v1,1000994,201416,0,0,1920,11222,,M1-1,,,,13a
0106000020E610000001000000010300000001000000050000008E28FD66197C52C0A2B1C892015D4440D3498968257C52C053FE8A6AFF5C4440735353FE257C52C0817B737A065D4440BD2C09FC197C52C0FB79D2A2085D44408E28FD66197C52C0A2B1C892015D4440,650 MORGAN AVENUE,M3-1,,3026600020,03/03/1998,7,274500,583650,3026600030,13225,F4,200,62,2660,3,5,E,0.87,1004,301,13225,2,0,33,593,0,,0,0,,0,13225,L146,0,300,,N,,06,30,15250,200,76.3,4,,1,1,0,0,,,650 MORGAN AVE CORP,,1,94,0,0,0,0,304 061,14,,,N,0,30904,0593,0,1,15v1,1001036,204033,0,0,1931,11222,,M3-1,,,,13a
0106000020E61000000100000001030000000100000006000000118F6F1D1F7C52C0B433BC90455C4440F3AD9EFC247C52C008F7EE76425C444083C030DC257C52C0FA9A3A50465C4440E1E1D5D4227C52C078005F4E4D5C44401134050E217C52C09B468C3E4E5C4440118F6F1D1F7C52C0B433BC90455C4440,DEBEVOISE AVENUE,M1-1,,0,,7,90000,90000,3028410006,0,G7,0,0,2841,3,5,,0,3008,301,0,1,0,34,449,0,,0,0,,2.4,0,L146,0,900,,Y,,10,6,8180,100,48,5,,0,0,0,0,,,BEADEL STREET REALTYI,,1,94,0,0,0,0,309 064,14,,,N,0,31001,0449,0,0,15v1,1000990,201941,0,0,0,11222,,M1-1,,,,13a
0106000020E61000000100000001030000000100000005000000D5040BEC1E7C52C0DE7B7ACDA45A44400F984654257C52C08BBA3A96A35A44405C443383257C52C055F165D1A55A444027C3061B1F7C52C0FB6FA308A75A4440D5040BEC1E7C52C0DE7B7ACDA45A4440,225 BUSHWICK AVENUE,C1-3/R6,,0,,7,1171,52830,3030550002,5000,C7,50,25,3055,3,5,,1.9,3000,301,800,0,0,34,493,0,,0,0,,4.8,0,E237,0,800,,N,,04,2,2625,105,25,5,,1,4,0,0,C1-3,,JJMC REALTY CORP.,,1,90,0,4200,2.43,800,309 029,14,,,N,0,31004,0493,7,8,15v1,1000998,197287,0,0,1920,11206,,R6,,,,13b
0106000020E61000000100000001030000000100000005000000D3498968257C52C053FE8A6AFF5C44408E28FD66197C52C0A2B1C892015D444056E3775B187C52C0D3B88FE5F45C444079AC8758247C52C027B57297F25C4440D3498968257C52C053FE8A6AFF5C4440,640 MORGAN AVENUE,M1-2,M3-1,3026600050,01/06/2004,7,155250,868950,3026600050,20550,E9,130,43,2660,3,5,,0.72,1004,301,20550,2,0,33,593,0,,0,675900,,4.8,0,L146,12000,300,,N,,06,50,28720,200,143,3,,2,1,3010,0,,,640 MORGAN AVE CORP,,1,94,0,0,0,0,304 061,14,,,Y,5540,30904,0593,0,3,15v1,1001050,203923,0,0,2002,11222,,M1-2,M3-1,,,13a
0106000020E61000000100000001030000000100000008000000D011E1BC1E7C52C0ED173990A25A44407EB01747207C52C018DF6C45A25A4440F3E392BF217C52C0712FFEFDA15A44406FBBE036237C52C0509EC7B6A15A4440A4B62B25257C52C0FB13F758A15A44400F984654257C52C08BBA3A96A35A4440D5040BEC1E7C52C0DE7B7ACDA45A4440D011E1BC1E7C52C0ED173990A25A4440,229 BUSHWICK AVENUE,C1-3/R6,,0,,7,975,57920,3030550001,5000,C1,50,25,3055,3,5,,1.9,3000,301,0,0,0,34,493,0,,0,0,,4.8,0,E237,0,800,,N,,02,1,2625,105,25,5,,2,4,0,0,C1-3,,EVANGELICAL MOVEMENT,,1,90,0,5000,2.43,0,309 029,14,,,N,0,31004,0493,7,7,15v1,1001002,197262,0,0,1920,11206,,R6,,,,13b
0106000020E6100000010000000103000000010000000600000092A2DE6A237C52C093C4A7B80F5C4440984000F0217C52C0A041404D095C4440DB860856237C52C0D3706993085C44409C78FB49257C52C04861050C115C444008DB74E3237C52C07DE6B6C3115C444092A2DE6A237C52C093C4A7B80F5C4440,287 FROST STREET,M1-1,,0,,7,27000,27000,3028580027,0,G7,0,0,2858,3,5,,0,3014,301,0,1,0,34,449,0,,0,0,,2.4,0,L146,0,900,,N,,10,27,2500,100,25,5,,0,0,0,0,,,WOOD HILL ABSTRACT CO,,1,94,0,0,0,0,309 064,14,,,N,0,31001,0449,0,0,15v1,1000972,201288,0,0,0,11222,,M1-1,,,,13a
0106000020E6100000010000000103000000010000000500000070702F6B227C52C0C893030B985A4440383BC459247C52C0F5F72AAD975A4440A4B62B25257C52C0FB13F758A15A44406FBBE036237C52C0509EC7B6A15A444070702F6B227C52C0C893030B985A4440,231 MONTROSE AVENUE,C1-3/R6,,0,,7,4743,238701,3030550023,7440,C4,62,30,3055,3,5,,2.48,3000,301,1860,0,0,34,493,0,,0,0,,4.8,0,E237,0,800,,N,,02,23,3000,100,30,3,,1,4,0,0,C1-3,,235-241 BUSHWICK AVE,,1,90,0,5580,2.43,1860,309 029,14,,,N,0,31004,0493,6,10,15v1,1000972,197191,0,0,1920,11206,,R6,,,,13b
0106000020E61000000100000001030000000100000005000000BEBD954A237C52C0E73C46D4C75A44400D03FA7B247C52C0D251089BC75A444047F80E38257C52C052866881D05A4440A81EC606247C52C0DA26F4BBD05A4440BEBD954A237C52C0E73C46D4C75A4440,227 SCHOLES STREET,C1-3/R6,,3030370001,02/28/1997,7,8998,33085,3030370169,1910,B2,50,19.1,3037,3,2,,0.96,1013,301,0,0,0,34,485,0,,0,4817,,4.8,0,L108,0,900,,N,,01,169,1983,100,19.1,5,,1,2,0,0,C1-3,,ANDREW REID,,1,90,3,1910,2.43,0,309 025,14,,,N,0,31004,0485,2,2,15v1,1000964,197719,0,0,1996,11206,,R6,,,,13b
0106000020E610000001000000010300000001000000050000009CB214381D7C52C097F029153D5C4440E128AF13237C52C053302A0C3A5C4440F3AD9EFC247C52C008F7EE76425C4440118F6F1D1F7C52C0B433BC90455C44409CB214381D7C52C097F029153D5C4440,25 DIVISION PLACE,M1-1,,0,,7,180000,368550,3028410001,10000,F4,100,100,2841,3,0,,1,3008,301,10000,1,0,34,449,0,,0,188550,,2.4,9000,L146,0,900,,N,,06,1,10000,100,100,3,,1,1,1000,0,,,EPNER TECHNOLOGY INC,,1,94,2,0,0,0,309 064,14,,,N,0,31001,0449,0,1,15v1,1001014,201851,0,0,1960,11222,,M1-1,,,,13a
